,productname,prices,Color
34,TECHFIRE Fire 500v2 Neckband hi-bass Wireless headphone...,₹270,"Black, In the Ear"
35,"PTron Bassstrings Neo with 34hrs Playtime,Clear Calls,1...",₹499,"Black, In the Ear"
36,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
37,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
38,myxes Earbuds Bluetooth V5.1 True Wireless stereo Bluet...,₹299,"Black, In the Ear"
39,"ZEBRONICS Zeb-Buds C10, with In-Line Mic, Type-C, 10mm ...",₹299,"Black, In the Ear"
40,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
41,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
42,"boAt Airdopes Prime 413,AI-ENx Tech, 50H Battery,Multi ...","₹1,299","Cool White, True Wireless"
43,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Red, On the Ear"
44,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","Lunar Silver, True Wireless"
45,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
46,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
47,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
48,Mi Type C Wired Headset with Mic Wired,₹599,"White, In the Ear"
49,Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,₹499,"Blue, In the Ear"
50,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
51,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
52,"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...","₹2,799","Starry Night, On the Ear"
53,"GOBOULT Q 70Hr, ENC Mic, 40mm Bass Boosted Drivers, 4EQ...","₹1,599","Beige, On the Ear"
54,boAt boAt Bassheads 100 Wired Earphones Wired,₹399,"Black, In the Ear"
55,"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹139,"Green, In the Ear"
56,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
57,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
58,"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹799,"Black, In the Ear"
59,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,399","Bold Blue, On the Ear"
60,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
61,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
62,TECHFIRE Fire 500v2 Neckband hi-bass Wireless headphone...,₹270,"Green, In the Ear"
63,"Noise TWO with 50 Hours Playtime, Low latency (up to 40...","₹1,699","Bold Black, On the Ear"
64,SpinBot BattleBudz C30 Type-C Gaming Earphones with Gam...,₹748,"Black, Red, In the Ear"
65,SONY 310AP Wired,"₹1,099","Black, On the Ear"
66,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
67,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
68,"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹389,"Chrome Green, In the Ear"
69,SONY WI-C100 with 25 Hours Battery Life Bluetooth Gamin...,"₹1,849","Black, In the Ear"
70,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
71,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
72,Seashot Bluetooth 5.2 Wireless Earbuds Touch Waterproof...,₹299,"Black, True Wireless"
73,"boAt Airdopes 181 Pro, 100H Battery, ENx,LED Display, S...","₹1,399","Mocha Elegance, True Wireless"
74,"PHILIPS TAT1269WT In-Ear Earbuds, 13mm Drivers, 40H, IP...",₹999,"White, True Wireless"
75,"ZEBRONICS Zeb-Jet Pro Premium Headphone,LED Headband,Su...",₹899,"Black+Blue, On the Ear"
76,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹300,"Booming Red, In the Ear"
77,Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,₹499,"Green, In the Ear"
78,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","Black Gloss, True Wireless"
79,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,299","Country Green, True Wireless"
80,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
81,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
82,"realme Buds Air7 with 52dB ANC, 12.4mm Driver, 52hrs Pl...","₹3,299","Slate Grey, True Wireless"
83,SONY WI-C100 with 25 Hours Battery Life Bluetooth Gamin...,"₹1,849","Black, In the Ear"
84,"CMF by Nothing Buds 2 48 dB Hybrid ANC, Ultra Bass Tech...","₹2,699","Dark Grey, In the Ear"
85,"Soundcore by Anker R50i Vi, 30Hr Playtime, Deep Bass, 2...",₹997,"Black, True Wireless"
86,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
87,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
88,AIZINA Wireless Surround Headphones with Mic & SD Card ...,₹491,"Black, On the Ear"
89,"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...","₹2,499","Mint, In the Ear"
90,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
91,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
92,"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...","₹1,099","Pearl White, True Wireless"
93,Apple EarPods (USB-C) Wired,"₹1,649","White, In the Ear"
94,AIZINA Foldable Bluetooth Headphones with Blended Bass ...,₹491,"Black, On the Ear"
95,"GOBOULT Z60 with 60Hr Battery, 4 Mic ENC, 50ms Ultra Lo...",₹899,"Powder Blue, True Wireless"
96,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
97,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
98,"ZEBRONICS BRO With In-Line Mic 3.5mm Jack, 10mm drivers...",₹199,"Black+Gold, In the Ear"
99,"AIZINA Wireless Talking Headphones with Mic & SD Card, ...",₹491,"Black, On the Ear"
100,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
101,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
102,"GOBOULT Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, Co...","₹1,099","Black, True Wireless"
103,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Gotham Black, True Wireless"
104,"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",₹999,"Jet Black, True Wireless"
105,"GOBOULT Raven 70Hrs Battery, App Support, Dual Pairing,...","₹1,299","Ice Mint, True Wireless"
106,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
107,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
108,OnePlus Nord Buds 3 with up to 32dB ANC Bluetooth,"₹1,899","Harmonic Gray, True Wireless"
109,GDS Portable Wireless Headphones featuring Bronze Bass ...,₹457,"Black, On the Ear"
110,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
111,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
112,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"Blue, In the Ear"
113,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,299","Country Green, True Wireless"
114,"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"Blue Pool, In the Ear"
115,"house of common Wireless Neckband, 58Hrs Playtime, Doub...",₹486,"Red, In the Ear"
116,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
117,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
118,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Red, On the Ear"
119,"realme Buds Wireless 5 with 50dB ANC, 360 degree Spatia...","₹1,799","DAWN SILVER, In the Ear"
120,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
121,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
122,"OPPO Enco Buds3 Pro,12.4mm Driver,54hrs Playback,Deep B...","₹1,799","Graphite Grey, True Wireless"
123,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Denim Blue, True Wireless"
124,"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...","₹1,399","Ivory Grain, True Wireless"
125,CMF by Nothing Neckband Pro 50dB Active Noise Cancellat...,"₹2,099","Orange, In the Ear"
126,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
127,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,₹299,"Vibrant Black, True Wireless"
128,"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",₹899,"Metal Black, True Wireless"
129,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹799,"Deep wine, True Wireless"
130,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
131,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
132,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",₹597,"White, True Wireless"
133,Mi Basic Wired Headset with Mic,₹499,"Black, In the Ear"
134,MOTOROLA Moto Buds Bass |Hi-Res Audio & LDAC | 12.4mm d...,"₹1,999","Grey, True Wireless"
135,Portronics Conch Theta C Type C Wired Earphone With HD ...,₹299,"White, In the Ear"
136,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
137,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
138,"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹389,"Chrome Grey, In the Ear"
139,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"₹2,599","Soft Jade, True Wireless"
140,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
141,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
142,"Jib Wired Earbuds with Microphone, Noise Isolating Fit,...",₹499,"Black, In the Ear, In the Ear"
143,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Berry Red, True Wireless"
144,"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,"Graphite Blue, True Wireless"
145,"GOBOULT Z40 Pro with 100Hr, 4 Mic ENC, Scratch Proof, R...","₹1,299","Lavender, True Wireless"
146,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
147,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
148,"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",₹999,"Candy cane, True Wireless"
149,OnePlus Nord Buds 3 Bluetooth,"₹1,899","Chromatic Blue, True Wireless"
150,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
151,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
152,"boAt Rockerz 412, 60H Battery,40ms Latency,ENx, Stream ...","₹1,399","Active Black, On the Ear"
153,"Portronics Harmonics Z5 Wireless Neckband, 33Hrs Playti...",₹649,"Blue, In the Ear"
154,boAt boAt Bassheads 104 Wired Earphones Wired,₹399,"Black, In the Ear"
155,"CMF by Nothing Buds 2a, 42 dB ANC, 12.4mm Driver, Dirac...","₹2,199","Dark Grey, True Wireless"
156,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
157,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
158,boAt boAt BassHeads 900 Wired Headphones Wired,₹879,"Carbon Black, On the Ear"
159,"GOBOULT K10 50H Battery Life, 4 Mic ENC, Low Latency, D...",₹799,"Pure Black, True Wireless"
160,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
161,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
162,SpinBot BattleBudz C10 Type-C Gaming Earphones with Boo...,₹629,"Black, Green, In the Ear"
163,ZEBRONICS ZEB-THUNDER Bluetooth,₹799,"Brown, On the Ear"
164,"boAt Airdopes 181 Pro, 100H Battery, ENx,LED Display, S...","₹1,399","Lilac Serenity, True Wireless"
165,"GOBOULT Fcharge with 40H Battery, ENC Mic, Fast Chargin...",₹799,"Black, In the Ear"
166,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,₹299,"Vibrant Black, True Wireless"
167,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
168,MarQ by Flipkart Rhythm Q0824 30 Hours Playtime Type C ...,₹499,"Blue, True Wireless"
169,"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",₹999,"Jet Black, True Wireless"
170,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
171,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
172,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",₹597,"White, True Wireless"
173,"boAt Airdopes Alpha Gen 2, 13mm Drivers,ENx,45H Battery...","₹1,099","Ocean Blue, In the Ear"
174,"Mivi Duopods Infinity [New Launch], 3D Sound, 70 H, AI-...",₹999,"Dune Beige, True Wireless"
175,"Noise Airwave, ENC calling, 50 Hrs of Playtime, Low lat...",₹941,"Jet Black, In the Ear"
176,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
177,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
178,"OnePlus Buds 4 55dB ANC, 45 hrs Playback, Dual Drivers ...","₹5,999","Storm Gray, In the Ear"
179,TECHFIRE Fire 500v2 Neckband hi-bass Wireless headphone...,₹270,"Green, In the Ear"
180,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
181,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
182,"realme Buds Wireless 5 Lite with 35Hrs Playback,12.4mm ...","₹1,199","Haze Blue, In the Ear"
183,Mi Basic Wired Headset with Mic,₹499,"Black, In the Ear"
184,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹699,"Green, In the Ear"
185,"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",₹599,"Sky Black, In the Ear"
186,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
187,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
188,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Teal Green, On the Ear"
189,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"Snow White, True Wireless"
190,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
191,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
192,"GOBOULT W20 with ENC Mic, 40Hrs Battery Life, Low Laten...",₹799,"Pine Green, True Wireless"
193,"boAt Rockerz 512 ANC, 40dB Hybrid ANC, 80H Battery, ENx...","₹2,799","Cosmic Black, On the Ear"
194,"JBL Tune 520 BT 57Hr Playtime, Pure Bass, Multi Connect...","₹3,999","Black, On the Ear"
195,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"Space Blue, True Wireless"
196,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
197,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
198,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,"Electric Green, True Wireless"
199,"OPPO Enco Buds3 Pro,12.4mm Driver,54hrs Playback,Deep B...","₹1,799","Graphite Grey, True Wireless"
200,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
201,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
202,HOPPUP Predator Xo3 Gaming Earbuds with 35MS Bluetooth,₹797,"White, True Wireless"
203,"realme Buds Wireless 5 with 50dB ANC, 360 degree Spatia...","₹1,799","Twilight Purple, In the Ear"
204,"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹999,"Lime White, True Wireless"
205,"PHILIPS TAT1269WT In-Ear Earbuds, 13mm Drivers, 40H, IP...",₹999,"White, True Wireless"
206,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
207,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
208,"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹139,"Green, In the Ear"
209,"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...","₹2,799","Sage Green, On the Ear"
210,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
211,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
212,"boAt Rockerz 255 Pro+, 60H Battery, ASAP Charge, Stream...","₹1,299","Navy Blue, In the Ear"
213,Aroma NB119D Dream Upto 60 Hours Playtime* Dual Pairing...,₹499,"Matte Black, In the Ear"
214,"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",₹799,"Blue, True Wireless"
215,"boAt Rockerz 210 ANC w/ 30dB Active Noise Cancellation,...","₹1,499","Cosmic Blue, In the Ear"
216,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
217,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
218,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","White Opal, True Wireless"
219,PRODART ORIGINAL EHS61 Deep Bass Sound Wired,₹211,"White, In the Ear"
220,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
221,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
222,"GOBOULT Z40 v2.0 70Hrs Battery Life, Legacy Continues, ...","₹1,099","Solar Orange, True Wireless"
223,Aroma NB119D Dream Upto 60 Hours Playtime* Dual Pairing...,₹279,"Matte Blue, In the Ear"
224,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹899,"Black, In the Ear"
225,"boAt Rockerz 301 ANC,13mm Drivers,Hall Switch, ~30dB AN...","₹1,499","Green, In the Ear"
226,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
227,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass Green, True Wireless"
228,"Aroma NB124 Bombay Upto 100 Hours Playtime*,ENC, Voice ...",₹300,"Metallic Blue, In the Ear"
229,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹799,"Electric Blue, True Wireless"
230,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
231,Caidea TW101 Earth 32dB Active Noise Cancellation 60Hrs...,₹375,"Acoustic Black, True Wireless"
232,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","Lunar Silver, True Wireless"
233,boAt boAt Bassheads 220 Wired Earphones Wired,₹499,"Black, In the Ear"
234,"Portronics Muffs M2 Bluetooth Headphones Over Ear,40 Hr...",₹999,"Black, On the Ear"
235,"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",₹799,"Onyx Lilac, In the Ear"
236,"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",₹373,"Galaxy Green, True Wireless"
237,"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",₹599,"Black Moon, In the Ear"
238,"boAt Airdopes Prime 511, Volume Swipe Controls, 50H Bat...","₹1,399","Active Black, True Wireless"
239,"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",₹699,"Jungle Green, True Wireless"
240,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
241,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
242,"PTron Bassstrings Neo with 34hrs Playtime,Clear Calls,1...",₹499,"Black, In the Ear"
243,"OnePlus Buds 4 55dB ANC, 45 hrs Playback, Dual Drivers ...","₹5,999","Zen Green, In the Ear"
244,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Snow Carmine, True Wireless"
245,SONY 310AP Wired,"₹1,099","Black, On the Ear"
246,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
247,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
248,MZ NB111 Wireless Headphone Magnetic Neckband 250h stan...,₹210,"Black, In the Ear"
249,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...",₹899,"Sky Blue, True Wireless"
250,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
251,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
